FromMonth,FromDay,FromYear,ToMonth,ToDay,ToYear,Sign
2,4,1935,2,4,1936,Pig
2,5,1936,2,3,1937,Rat
2,4,1937,2,3,1938,Ox
2,4,1938,2,4,1939,Tiger
2,5,1939,2,4,1940,Rabbit
2,5,1940,2,3,1941,Dragon
2,4,1941,2,3,1942,Snake
2,4,1942,2,4,1943,Horse
2,5,1943,2,4,1944,Sheep
2,5,1944,2,3,1945,Monkey
2,4,1945,2,3,1946,Rooster
2,4,1946,2,3,1947,Dog
2,4,1947,2,4,1948,Pig
2,5,1948,2,3,1949,Rat
2,4,1949,2,3,1950,Ox
2,4,1950,2,3,1951,Tiger
2,4,1951,2,4,1952,Rabbit
2,5,1952,2,3,1953,Dragon
2,4,1953,2,3,1954,Snake
2,4,1954,2,3,1955,Horse
2,4,1955,2,4,1956,Sheep
2,5,1956,2,3,1957,Monkey
2,4,1957,2,3,1958,Rooster
2,4,1958,2,3,1959,Dog
2,4,1959,2,4,1960,Pig
2,5,1960,2,3,1961,Rat
2,4,1961,2,3,1962,Ox
2,4,1962,2,3,1963,Tiger
2,4,1963,2,4,1964,Rabbit
2,5,1964,2,3,1965,Dragon
2,4,1965,2,3,1966,Snake
2,4,1966,2,3,1967,Horse
2,4,1967,2,4,1968,Sheep
2,5,1968,2,3,1969,Monkey
2,4,1969,2,3,1970,Rooster
2,4,1970,2,3,1971,Dog
2,4,1971,2,4,1972,Pig
2,5,1972,2,3,1973,Rat
2,4,1973,2,3,1974,Ox
2,4,1974,2,3,1975,Tiger
2,4,1975,2,4,1976,Rabbit
2,5,1976,2,3,1977,Dragon
2,4,1977,2,3,1978,Snake
2,4,1978,2,3,1979,Horse
2,4,1979,2,4,1980,Sheep
2,5,1980,2,3,1981,Monkey
2,4,1981,2,3,1982,Rooster
2,4,1982,2,3,1983,Dog
2,4,1983,2,3,1984,Pig
2,4,1984,2,3,1985,Rat
2,4,1985,2,3,1986,Ox
2,4,1986,2,3,1987,Tiger
2,4,1987,2,3,1988,Rabbit
2,4,1988,2,3,1989,Dragon
2,4,1989,2,3,1990,Snake
2,4,1990,2,3,1991,Horse
2,4,1991,2,3,1992,Sheep
2,4,1992,2,3,1993,Monkey
2,4,1993,2,3,1994,Rooster
2,4,1994,2,3,1995,Dog
2,4,1995,2,3,1996,Pig
2,4,1996,2,3,1997,Rat
2,4,1997,2,3,1998,Ox
2,4,1998,2,3,1999,Tiger
2,4,1999,2,3,2000,Rabbit
2,4,2000,2,3,2001,Dragon
2,4,2001,2,3,2002,Snake
2,4,2002,2,3,2003,Horse
2,4,2003,2,3,2004,Sheep
2,4,2004,2,3,2005,Monkey
2,4,2005,2,3,2006,Rooster
2,4,2006,2,3,2007,Dog
2,4,2007,2,3,2008,Pig
2,4,2008,2,3,2009,Rat
2,4,2009,2,3,2010,Ox
2,4,2010,2,3,2011,Tiger
2,4,2011,2,3,2012,Rabbit
2,4,2012,2,3,2013,Dragon
2,4,2013,2,3,2014,Snake
2,4,2014,2,3,2015,Horse
2,4,2015,2,3,2016,Sheep
2,4,2016,2,2,2017,Monkey
2,3,2017,2,3,2018,Rooster
2,4,2018,2,3,2019,Dog
2,4,2019,2,2,2020,Pig
2,3,2020,2,3,2021,Rat
2,4,2021,2,3,2022,Ox
2,4,2022,2,3,2023,Tiger
2,4,2023,2,3,2024,Rabbit
2,4,2024,2,2,2025,Dragon
2,3,2025,2,3,2026,Snake
2,4,2026,2,3,2027,Horse
2,4,2027,2,2,2028,Sheep
2,3,2028,2,3,2029,Monkey
2,4,2029,2,3,2030,Rooster
2,4,2030,2,3,2031,Dog
2,4,2031,2,3,2032,Pig
